3.79,3.08,3.08,3.08,2.6,2.72,2.81,4.13,2.97,2.92,2.67,2.67,2.35,2.4,2.94,3.25,3.25,3.25,3.25,2.74,2.95,2.74,2.2,2.51,3.05,3.89,4.6,5.01,5.41,5.96,6.4,6.73,6.7,6.98,6.7,7.34,7.12,6.47,6.87,7.12,7.97,9.09,9.76,10.6,10.9,11,11.4,11.5,11.4,11.5,12,12.4,12.3,12.4,12.4,11.7,10.9,9.42,8.77,8.64,8.82,8.6,8.38,8.34,8.82,9.09,8.69,7.57,6.84,6.47,6.47,6.34,5.72,5.67,5.44,5.3,4.89,4.44,3.73,3.37,3.77,2.64,3.64,4.13,3.77,2.35,2.35,2.5,2.63,2.9,2.62,2.62,2.62,3.22,3.21,3.7
3.79,3.08,3.08,3.08,2.74,2.84,3.51,3.75,3.85,3.49,3.19,2.62,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.74,2.94,3.62,4.15,4.6,4.91,5.25,5.67,6.27,6.91,7.34,7.97,8.42,9.23,9.62,9.81,9.76,9.91,10.1,10.2,10.6,10.6,11,10.7,10.5,10.5,10.5,10.6,10.8,10.8,10.5,9.71,9.47,9.66,9.62,9,8.09,6.98,6.47,6.6,7.01,7.2,7.2,7.31,7.89,7.77,7.05,6.5,6.15,6.08,5.5,5.61,5.36,4.58,4.35,4.22,4.3,3.97,3.87,3.71,3.22,3.11,2.77,3.03,3.03,2.74,3.25,2.97,2.98,2.7,2.64,2.84,3.14
3.06,3.22,3.24,2.84,3.09,3.08,3.16,3.37,3.24,3.24,2.7,2.52,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.66,4.33,4.55,4.89,5.22,5.41,5.84,6.5,7.09,7.42,7.97,8.47,8.55,8.3,9.05,9.71,10.2,10.6,10.6,10.4,10.7,11.3,11,11.2,11.1,10.6,10,8.86,8.55,8.55,8.64,8.64,8.91,9.23,9.62,9.57,8.82,7.81,7.61,7.34,7.05,6.87,7.57,6.6,6.53,6.53,6.7,6.57,5.67,5.5,5.58,5.84,5.5,5.04,4.67,3.36,3.03,3.03,2.41,3.11,2.77,3.03,3.03,2.74,2.6,2.55,2.85,3.16,3.16,2.9,2.84
2.77,2.75,2.74,2.67,2.71,2.66,2.6,2.82,2.6,2.78,2.92,2.79,2.74,2.19,2.3,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,2.58,3.17,3.79,4.37,4.91,5.33,5.78,6.27,6.8,7.42,7.97,8.42,8.6,8.82,9.86,10.6,11,11,11.1,11.2,10.3,9.81,9.81,9.37,8.73,8.64,8.82,8.77,8.6,8.6,8.86,8.82,8.69,8.6,8.38,8.05,7.97,7.77,7.81,7.85,7.12,6.67,7.01,7.01,6.98,6.02,5.14,4.89,4.44,3.97,3.97,3.97,3.97,3.48,3.55,3.57,3.66,3.22,3.44,3.57,3.71,3.22,2.85,3,2.84,2.85,2.54,2.54,2.54,2.18,2.22,2.22
2.85,2.55,2.74,2.67,2.34,2.66,2.6,2.82,2.6,2.78,2.92,2.79,2.74,2.19,2.3,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,2.79,2.82,3.73,3.7,4.11,4.65,4.89,5.01,5.12,5.25,5.55,5.67,5.96,6.53,7.31,8.01,8.77,9.14,8.91,8.95,9.33,9.76,10.3,10.4,10.9,10.9,10.6,10.1,9.66,9.18,8.82,8.42,8.25,7.57,6.84,7.16,7.09,7.12,7.57,7.89,7.57,7.09,6.63,6.21,5.72,5.55,5.47,5.67,5.25,4.79,4.44,3.83,3.7,3.68,3.64,3.68,3.91,4.09,4.15,3.25,3.09,2.3,3.22,2.85,3,2.84,2.85,2.54,2.54,2.54,2.18,2.22,2.33
2.29,2.77,2.74,2.74,2.74,2.51,2.56,2.42,2.24,2.78,2.92,2.79,2.74,2.19,2.3,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,2.72,2.71,3.37,3.77,3.99,4.26,4.69,5.01,5.07,5.17,5.55,6.4,6.91,7.49,7.77,7.69,7.57,7.81,7.65,7.73,7.57,7.57,7.73,7.97,7.77,8.01,8.05,7.93,7.27,7.38,7.38,8.09,8.86,9.71,10.2,10.3,9.62,9.37,9.37,9.37,9.05,8.34,7.85,7.34,7.05,7.27,7.53,7.46,5.41,7.27,5.75,5.5,5.17,4.33,4.33,4.33,3.02,2.87,2.84,3.25,3.09,2.3,3.22,2.85,3,2.84,2.85,2.54,2.54,2.54,2.18,2.22,2.33
2.29,2.77,2.74,2.74,2.92,3.05,3.08,2.68,2.68,2.42,2.92,2.79,2.74,2.19,2.3,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,2.72,2.63,3.41,4.05,4.53,4.74,5.01,5.69,6.21,6.57,7.05,7.27,7.38,6.8,6.4,6.63,7.23,6.57,6.77,6.8,6.94,7.57,8.05,8.3,8.51,8.86,10.3,11.4,10.3,9.76,9.47,9,8.17,7.61,7.12,7.34,7.65,7.97,7.81,7.46,6.63,5.72,5.69,5.36,5.41,5.81,5.41,5.17,4.77,4.33,4.37,3.85,3.89,3.58,3.73,3.73,4.35,4.3,4.35,4.18,3.24,3.16,2.9,2.7,3,2.84,2.85,2.54,3.87,4.09,3.81,3.91,4.28
4.13,3.24,3.06,2.74,2.92,3.05,3.08,2.68,2.68,2.42,2.92,2.79,2.74,2.19,2.3,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,2.72,3.16,3.7,4.22,4.58,4.81,5.25,5.69,6.27,6.11,5.81,5.93,5.75,5.36,5.41,5.75,5.78,5.93,6.63,7.42,7.97,8.69,8.82,7.69,7.34,6.8,6.24,5.99,5.64,5.36,5.78,5.14,5.78,5.61,5.61,5.69,5.9,6.63,6.8,7.49,6.94,7.12,6.77,6.67,6.77,6.34,5.64,4.91,4.46,4.33,5.04,4.51,4.11,4.67,4.53,4.81,4.79,4.77,3.91,3.64,3.89,3.46,3.08,2.62,2.49,2.41,2.97,2.72,2.95,2.42,2.67,3,2.62
3.22,2.6,3.22,2.82,3.71,3.83,3.02,2.87,2.68,2.42,2.92,2.79,2.74,2.19,2.3,3.12,2.59,3.12,3.12,3.12,3.12,3.12,3.12,2.72,2.7,3.24,3.81,4.6,5.44,5.55,5.96,6.67,7.81,8.3,7.57,6.47,6.43,6.34,6.27,6.24,6.57,7.09,7.61,8.05,7.97,7.49,7.34,7.2,7.38,7.61,8.34,9.05,9.52,9.76,10.1,9.86,9.37,8.34,8.73,8.73,8.34,8.77,9.18,9.18,8.77,8.64,8.47,8.01,7.81,7.61,7.89,7.89,7.97,8.34,8.05,7.93,7.34,6.47,5.12,3.93,3.99,4.44,5.12,4.22,2.7,2.75,2.62,2.49,2.41,2.97,2.72,2.95,2.59,2.67,3,2.62
4.3,4.28,4.22,4.42,4.39,4.94,5.28,5.52,4.84,4.51,4.53,4.42,3.44,3.44,3.02,3.06,2.91,3.17,2.97,2.68,2.68,2.24,2.55,3.08,3.29,3.87,4.35,4.6,4.77,5.12,5.47,5.75,6.27,6.73,7.2,7.69,7.69,7.46,7.34,6.73,6.34,6.15,6.43,6.73,6.4,6.47,5.99,5.17,5.84,5.28,5.44,5.67,5.96,6.5,7.38,7.73,7.16,6.67,7.38,6.77,6.87,6.6,6.77,6.91,7.49,7.23,7.23,6.98,6.6,6.4,6.08,6.02,5.33,5.25,5.17,4.91,5.41,5.22,5.17,4.91,4.89,5.14,5.3,4.3,3.42,3.21,3.06,3.03,2.68,2.68,2.33,2.54,2.54,2.82,2.59,3.08
